sub_num,session,trial_order,trial_number,frame_count_start,frame_count_end,filename
CAT_205,2,order2A,13,3194,3333,CAT_205_session2
CAT_205,2,order2A,14,3411,3550,CAT_205_session2
CAT_205,2,order2A,16,3846,3985,CAT_205_session2
CAT_205,2,order2A,17,4064,4203,CAT_205_session2
CAT_205,2,order2A,18,4285,4424,CAT_205_session2
CAT_205,2,order2A,19,4503,4641,CAT_205_session2
CAT_205,2,order2A,21,4938,5077,CAT_205_session2
CAT_205,2,order2A,22,5159,5297,CAT_205_session2
CAT_205,2,order2A,23,5378,5517,CAT_205_session2
CAT_205,2,order2A,24,5596,5735,CAT_205_session2
CAT_205,2,order2A,26,6030,6168,CAT_205_session2
CAT_205,2,order2A,27,6248,6386,CAT_205_session2
CAT_205,2,order2A,28,6466,6605,CAT_205_session2
CAT_205,2,order2A,29,6684,6823,CAT_205_session2
CAT_206,1,order2B-locationflip,1,907,1051,CAT_206_session1
CAT_206,1,order2B-locationflip,2,1129,1273,CAT_206_session1
CAT_206,1,order2B-locationflip,3,1353,1497,CAT_206_session1
CAT_206,1,order2B-locationflip,4,1576,1720,CAT_206_session1
CAT_206,1,order2B-locationflip,6,2020,2164,CAT_206_session1
CAT_206,1,order2B-locationflip,7,2242,2386,CAT_206_session1
CAT_206,1,order2B-locationflip,8,2464,2608,CAT_206_session1
CAT_206,1,order2B-locationflip,9,2686,2830,CAT_206_session1
CAT_206,1,order2B-locationflip,11,3131,3275,CAT_206_session1
CAT_206,1,order2B-locationflip,12,3353,3497,CAT_206_session1
CAT_206,1,order2B-locationflip,13,3575,3719,CAT_206_session1
CAT_206,1,order2B-locationflip,14,3797,3941,CAT_206_session1
CAT_206,1,order2B-locationflip,16,4241,4385,CAT_206_session1
CAT_206,1,order2B-locationflip,17,4464,4608,CAT_206_session1
CAT_206,1,order2B-locationflip,18,4686,4830,CAT_206_session1
CAT_206,1,order2B-locationflip,19,4908,5051,CAT_206_session1
CAT_206,1,order2B-locationflip,21,5352,5496,CAT_206_session1
CAT_206,1,order2B-locationflip,22,5575,5719,CAT_206_session1
CAT_206,1,order2B-locationflip,23,5797,5941,CAT_206_session1
CAT_206,1,order2B-locationflip,24,6021,6165,CAT_206_session1
CAT_206,1,order2B-locationflip,26,6465,6609,CAT_206_session1
CAT_206,1,order2B-locationflip,27,6690,6834,CAT_206_session1
CAT_206,1,order2B-locationflip,28,6914,7058,CAT_206_session1
CAT_206,1,order2B-locationflip,29,7138,7282,CAT_206_session1
