sub_num,id,typical,experience,experience_open,typical_num,image_name,plural_category,name,pets,books_animals,typical_num_z,typical_by_category_z
CAT_208,1,somewhat atypical,Yes,aunts great dane,2,afghanhound_600x600,dogs,afghanhound,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.2455904829481088,0
CAT_208,2,very typical,Yes,3 cats at home and picture book,5,arabianmau_600x600,cats,arabianmau,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",1.7191333806367617,0.8475793795260128
CAT_208,3,very atypical,No,NA,1,bass_600x600,fish,bass,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-0.8519427513705972
CAT_208,4,very atypical,No,NA,1,bassethound_600x600,dogs,bassethound,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-0.9128709291752769
CAT_208,5,somewhat atypical,No,NA,2,beagle_600x600,dogs,beagle,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.2455904829481088,0
CAT_208,6,very typical,Yes,looks like our family beta,5,betafish_600x600,fish,betafish,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",1.7191333806367617,1.419904585617662
CAT_208,7,neither typical nor atypical,No,NA,3,bluegill_600x600,fish,bluegill,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",0.40931747158018134,0.2839809171235324
CAT_208,8,somewhat atypical,Yes,maybe on our walks,2,cardinal_600x600,birds,cardinal,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.2455904829481088,0.4082482904638629
CAT_208,9,very typical,Yes,home,5,chartreux_600x600,cats,chartreux,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",1.7191333806367617,0.8475793795260128
CAT_208,10,very atypical,No,NA,1,clownfish_600x600,fish,clownfish,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-0.8519427513705972
CAT_208,11,very atypical,No,NA,1,cornishrex_600x600,cats,cornishrex,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-1.1866111313364183
CAT_208,12,very atypical,No,NA,1,germanshepherd_600x600,dogs,germanshepherd,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-0.9128709291752769
CAT_208,13,somewhat typical,Yes,yes neighbor/ grandmother have dogs with gold coloring,4,goldenretriever_600x600,dogs,goldenretriever,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",1.0642254261084714,1.8257418583505538
CAT_208,14,very atypical,No,NA,1,heron_600x600,birds,heron,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-0.8164965809277261
CAT_208,15,somewhat atypical,No,NA,2,kingfisher_600x600,birds,kingfisher,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.2455904829481088,0.4082482904638629
CAT_208,16,neither typical nor atypical,Yes,pet store,3,kookaburra_600x600,birds,kookaburra,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",0.40931747158018134,1.632993161855452
CAT_208,17,somewhat typical,Yes,family beta fish from birth to 12 months,4,lionfish_600x600,fish,lionfish,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",1.0642254261084714,0.8519427513705972
CAT_208,18,neither typical nor atypical,No,NA,3,oriental_600x600,cats,oriental,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",0.40931747158018134,-0.16951587590520265
