Trial,Framerate,Framecount,file,response_uuid,trial_number
13,29.6813,217,framerate_table_07a15b21-0028-4419-9fef-91fc3fcff37a,07a15b21-0028-4419-9fef-91fc3fcff37a,3
14,29.6801,218,framerate_table_07a15b21-0028-4419-9fef-91fc3fcff37a,07a15b21-0028-4419-9fef-91fc3fcff37a,4
16,29.6881,218,framerate_table_07a15b21-0028-4419-9fef-91fc3fcff37a,07a15b21-0028-4419-9fef-91fc3fcff37a,6
17,29.6623,195,framerate_table_07a15b21-0028-4419-9fef-91fc3fcff37a,07a15b21-0028-4419-9fef-91fc3fcff37a,7
11,29.6801,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,1
12,29.6732,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,2
13,29.6841,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,3
14,29.6732,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,4
16,29.6732,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,6
17,29.6772,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,7
18,29.6841,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,8
19,29.6841,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,9
21,29.6772,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,11
22,29.6801,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,12
23,29.6841,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,13
