"imageName","image","N","mean_typicality","sd_typicality","se_typicality","category","category_plural","typicality_subjective","animal_name","original_image_name","source","final_image_name","final_image_name_ext","image_experiment_name","image_path"
"pelican","lib/images/pelican_600x600.jpg",41,2.53658536585366,1.20618325671537,0.188374176728289,"bird","birds","atypical","pelican","pelican_boss","BOSS","pelican","_600x600.jpg","pelican_600x600.jpg","../images/pelican_600x600.jpg"
"pigeon","lib/images/pigeon_600x600.jpg",41,4.58536585365854,0.948040340810916,0.148059026446597,"bird","birds","typical","pigeon","pigeon_mz","https://upload.wikimedia.org/wikipedia/commons/4/43/Common_pigeon_-_Piccione_selvatico_occidentale_%28Columba_livia%29.jpg","pigeon","_600x600.jpg","pigeon_600x600.jpg","../images/pigeon_600x600.jpg"
"pufferfish","lib/images/pufferfish_600x600.jpg",41,2.17073170731707,1.20213225196711,0.187741516077325,"fish","fish","atypical","pufferfish","pufferfish_er","EmbersonRubenstein","pufferfish","_600x600.jpg","pufferfish_600x600.jpg","../images/pufferfish_600x600.jpg"
"puffin","lib/images/puffin_600x600.jpg",41,2.14634146341463,1.21575029528592,0.189868297131986,"bird","birds","atypical","puffin","puffin_hw","https://unsplash.com/photos/Dq88eI3asTE","puffin","_600x600.jpg","puffin_600x600.jpg","../images/puffin_600x600.jpg"
"pug","lib/images/pug_600x600.jpg",41,3.58536585365854,1.0948883449032,0.170992831671523,"dog","dogs","atypical","pug","pug_mz","https://commons.wikimedia.org/wiki/File:Mops_oct09_cropped2.jpg","pug","_600x600.jpg","pug_600x600.jpg","../images/pug_600x600.jpg"
"robin","lib/images/robin_600x600.jpg",41,4.07317073170732,1.12672631775509,0.17596508766271,"bird","birds","typical","robin","robin_mz","https://unsplash.com/photos/rP4IAAk3hGw","robin","_600x600.jpg","robin_600x600.jpg","../images/robin_600x600.jpg"
"rottweiler","lib/images/rottweiler_600x600.jpg",41,4.04878048780488,0.947396947224212,0.147958545249786,"dog","dogs","typical","rottweiler","rottweiler_mz_2","https://commons.wikimedia.org/wiki/File:02_I_Exposici%C3%B3n_Monogr%C3%A1fica_Club_Rottweiler_de_Espa%C3%B1a_-_Santa_Brigida_-_Gran_Canaria.jpg","rottweiler","_600x600.jpg","rottweiler_600x600.jpg","../images/rottweiler_600x600.jpg"
"saintbernard","lib/images/saintbernard_600x600.jpg",41,3.78048780487805,0.908630703915271,0.14190427519794,"dog","dogs","atypical","saint bernard","saintbernard_boss","BOSS","saintbernard","_600x600.jpg","saintbernard_600x600.jpg","../images/saintbernard_600x600.jpg"
"salmon","lib/images/salmon_600x600.jpg",41,3.8780487804878,1.00486620878651,0.156933736020931,"fish","fish","atypical","salmon","salmon_boss","BOSS","salmon","_600x600.jpg","salmon_600x600.jpg","../images/salmon_600x600.jpg"
"sandcat","lib/images/sandcat_600x600.jpg",41,2.68292682926829,1.38634455295651,0.216510644108997,"cat","cats","atypical","sandcat","sandcat_mz","https://upload.wikimedia.org/wikipedia/commons/7/70/Sand_cat_%284571207173%29.jpg","sandcat","_600x600.jpg","sandcat_600x600.jpg","../images/sandcat_600x600.jpg"
"seagull","lib/images/seagull_600x600.jpg",41,4.21951219512195,0.821954838234779,0.128367779189666,"bird","birds","typical","seagull","seagull_mz","https://unsplash.com/photos/qrP9Q4ttNLs","seagull","_600x600.jpg","seagull_600x600.jpg","../images/seagull_600x600.jpg"
"seahorse","lib/images/seahorse_600x600.jpg",41,2.39024390243902,1.15926806176328,0.181047254242884,"fish","fish","atypical","seahorse","seahorse_mz_1","https://unsplash.com/photos/fG1fdervp1E","seahorse","_600x600.jpg","seahorse_600x600.jpg","../images/seahorse_600x600.jpg"
"sergeantmajor","lib/images/sergeantmajor_600x600.jpg",41,3.85365853658537,0.988963487944729,0.154450148282805,"fish","fish","typical","sergeant major","sergeantmajor_hw_1","https://unsplash.com/photos/mjPMBpsxICY","sergeantmajor","_600x600.jpg","sergeantmajor_600x600.jpg","../images/sergeantmajor_600x600.jpg"
"sheepdog","lib/images/sheepdog_600x600.jpg",41,1.78048780487805,1.06094757462259,0.165692173895403,"dog","dogs","atypical","sheepdog","sheepdog_er","EmbersonRubenstein","sheepdog","_600x600.jpg","sheepdog_600x600.jpg","../images/sheepdog_600x600.jpg"
"shorthair_calico","lib/images/shorthair_calico_600x600.jpg",41,4.14634146341463,0.988963487944729,0.154450148282805,"cat","cats","typical","british shorthair","britishshorthair_calico_mz","https://commons.wikimedia.org/wiki/File:British_shorthair_with_calico_coat_(2).jpg","shorthair_calico","_600x600.jpg","shorthair_calico_600x600.jpg","../images/shorthair_calico_600x600.jpg"
"siamese","lib/images/siamese_600x600.jpg",41,3.5609756097561,1.32379719911709,0.206742388563716,"cat","cats","atypical","siamese","siamesecat_hw_2","https://pixabay.com/photos/cat-siamese-cat-fur-kitten-2068462/","siamese","_600x600.jpg","siamese_600x600.jpg","../images/siamese_600x600.jpg"
"siberian","lib/images/siberian_600x600.jpg",41,3.78048780487805,0.908630703915271,0.14190427519794,"cat","cats","atypical","siberian","siberian_mz_3","https://commons.wikimedia.org/wiki/File:Siberian_Forest_Cat.jpg","siberian","_600x600.jpg","siberian_600x600.jpg","../images/siberian_600x600.jpg"
"sparrow","lib/images/sparrow_600x600.jpg",41,4.39024390243902,0.862497790735947,0.134699524599845,"bird","birds","typical","sparrow","sparrow_mz","https://commons.wikimedia.org/wiki/File:Tree_Sparrow_Japan_Flip.jpg","sparrow","_600x600.jpg","sparrow_600x600.jpg","../images/sparrow_600x600.jpg"
"sphynx","lib/images/sphynx_600x600.jpg",41,1.41463414634146,0.835930910904052,0.130550475034855,"cat","cats","atypical","sphynx","sphynx_mz_4","https://commons.wikimedia.org/wiki/File:Sphynx_-_cat._img_046.jpg","sphynx","_600x600.jpg","sphynx_600x600.jpg","../images/sphynx_600x600.jpg"
"stingray","lib/images/stingray_600x600.jpg",41,2.26829268292683,1.09600160227763,0.171166693263637,"fish","fish","atypical","stingray","stingray_boss","BOSS","stingray","_600x600.jpg","stingray_600x600.jpg","../images/stingray_600x600.jpg"
"sturgeon","lib/images/sturgeon_600x600.jpg",41,2.51219512195122,1.16451602005967,0.181866847632266,"fish","fish","atypical","sturgeon","sturgeon_boss","BOSS","sturgeon","_600x600.jpg","sturgeon_600x600.jpg","../images/sturgeon_600x600.jpg"
"tabby","lib/images/tabby_600x600.jpg",41,4.73170731707317,0.548834685670578,0.0857135775161248,"cat","cats","typical","american shorthair","cat_mz_1","https://en.wikipedia.org/wiki/Tabby_cat#/media/File:Cat_November_2010-1a.jpg","tabby","_600x600.jpg","tabby_600x600.jpg","../images/tabby_600x600.jpg"
"toucan","lib/images/toucan_600x600.jpg",41,2.34146341463415,1.27690555832373,0.199419144619889,"bird","birds","atypical","toucan","toucan_boss","BOSS","toucan","_600x600.jpg","toucan_600x600.jpg","../images/toucan_600x600.jpg"
"toyger","lib/images/toyger_600x600.jpg",41,3.92682926829268,0.958911985075769,0.149756892029354,"cat","cats","typical","toyger","toyger_mz_2","https://www.flickr.com/photos/erlon10/8088944726","toyger","_600x600.jpg","toyger_600x600.jpg","../images/toyger_600x600.jpg"
"turkey","lib/images/turkey_600x600.jpg",41,2.34146341463415,1.23712885540596,0.193207067289693,"bird","birds","atypical","turkey","turkey_boss","BOSS","turkey","_600x600.jpg","turkey_600x600.jpg","../images/turkey_600x600.jpg"
"vulture","lib/images/vulture_600x600.jpg",41,2.63414634146341,1.24008260936471,0.193668366157125,"bird","birds","atypical","vulture","vulture_boss","BOSS","vulture","_600x600.jpg","vulture_600x600.jpg","../images/vulture_600x600.jpg"
"yorkshireterrier","lib/images/yorkshireterrier_600x600.jpg",41,3.68292682926829,0.933783282947492,0.145832448086602,"dog","dogs","atypical","yorkshire terrier","yorkshireterrier_hw","https://pixabay.com/photos/yorkshire-terrier-terrier-dog-361730/","yorkshireterrier","_600x600.jpg","yorkshireterrier_600x600.jpg","../images/yorkshireterrier_600x600.jpg"
