"category","typicality_subjective","imageName","image","N","modal_label","modal_label_count","modal_agreement","category_plural","animal_name","original_image_name","source","final_image_name","final_image_name_ext","image_experiment_name","image_path"
"cat","typical","britishshorthair","lib/images/britishshorthair_600x600.jpg",30,"cat",27,0.9,"cats","british shorthair","britishshorthair_mz_2","https://commons.wikimedia.org/wiki/File:British_Shorthair._Female._18_months_old.jpg","britishshorthair","_600x600.jpg","britishshorthair_600x600.jpg","../images/britishshorthair_600x600.jpg"
"cat","typical","burmese","lib/images/burmese_600x600.jpg",29,"cat",27,0.931034482758621,"cats","burmese","burmese_hw","https://pixabay.com/photos/animals-cute-cat-pet-breed-burmese-3273782/","burmese","_600x600.jpg","burmese_600x600.jpg","../images/burmese_600x600.jpg"
"cat","typical","chartreux","lib/images/chartreux_600x600.jpg",29,"cat",23,0.793103448275862,"cats","chartreux","chartreux_mz_2","https://www.pexels.com/photo/animals-cat-chartreux-mieze-357182/","chartreux","_600x600.jpg","chartreux_600x600.jpg","../images/chartreux_600x600.jpg"
"cat","typical","egyptianmau","lib/images/egyptianmau_600x600.jpg",29,"cat",23,0.793103448275862,"cats","mau","egyptianmau_mz_1","https://commons.wikimedia.org/wiki/File:Egyptian_Mau_Bronze.jpg","egyptianmau","_600x600.jpg","egyptianmau_600x600.jpg","../images/egyptianmau_600x600.jpg"
"cat","typical","shorthair_calico","lib/images/shorthair_calico_600x600.jpg",29,"cat",22,0.758620689655172,"cats","british shorthair","britishshorthair_calico_mz","https://commons.wikimedia.org/wiki/File:British_shorthair_with_calico_coat_(2).jpg","shorthair_calico","_600x600.jpg","shorthair_calico_600x600.jpg","../images/shorthair_calico_600x600.jpg"
"cat","typical","tabby","lib/images/tabby_600x600.jpg",29,"cat",29,1,"cats","american shorthair","cat_mz_1","https://en.wikipedia.org/wiki/Tabby_cat#/media/File:Cat_November_2010-1a.jpg","tabby","_600x600.jpg","tabby_600x600.jpg","../images/tabby_600x600.jpg"
"cat","typical","toyger","lib/images/toyger_600x600.jpg",30,"cat",28,0.933333333333333,"cats","toyger","toyger_mz_2","https://www.flickr.com/photos/erlon10/8088944726","toyger","_600x600.jpg","toyger_600x600.jpg","../images/toyger_600x600.jpg"
"dog","atypical","afghanhound","lib/images/afghanhound_600x600.jpg",33,"dog",26,0.787878787878788,"dogs","afghan hound","afghanhound_mz_1","https://commons.wikimedia.org/wiki/File:Arabian_Hound_001_U.jpg","afghanhound","_600x600.jpg","afghanhound_600x600.jpg","../images/afghanhound_600x600.jpg"
"dog","atypical","bassethound","lib/images/bassethound_600x600.jpg",33,"dog",19,0.575757575757576,"dogs","basset hound","bassethound_boss","BOSS","bassethound","_600x600.jpg","bassethound_600x600.jpg","../images/bassethound_600x600.jpg"
"dog","atypical","chihuahua","lib/images/chihuahua_600x600.jpg",34,"dog",28,0.823529411764706,"dogs","chihuahua","chihuahua_mz_4","https://www.pxfuel.com/en/free-photo-ojhbm","chihuahua","_600x600.jpg","chihuahua_600x600.jpg","../images/chihuahua_600x600.jpg"
"dog","atypical","greyhound","lib/images/greyhound_600x600.jpg",33,"dog",22,0.666666666666667,"dogs","greyhound","greyhound_BOSS","BOSS","greyhound","_600x600.jpg","greyhound_600x600.jpg","../images/greyhound_600x600.jpg"
"dog","atypical","pug","lib/images/pug_600x600.jpg",34,"dog",15,0.441176470588235,"dogs","pug","pug_mz","https://commons.wikimedia.org/wiki/File:Mops_oct09_cropped2.jpg","pug","_600x600.jpg","pug_600x600.jpg","../images/pug_600x600.jpg"
"dog","atypical","saintbernard","lib/images/saintbernard_600x600.jpg",33,"dog",30,0.909090909090909,"dogs","saint bernard","saintbernard_boss","BOSS","saintbernard","_600x600.jpg","saintbernard_600x600.jpg","../images/saintbernard_600x600.jpg"
"dog","atypical","sheepdog","lib/images/sheepdog_600x600.jpg",32,"dog",24,0.75,"dogs","sheepdog","sheepdog_er","EmbersonRubenstein","sheepdog","_600x600.jpg","sheepdog_600x600.jpg","../images/sheepdog_600x600.jpg"
